,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,jp_parent_route_id,route_color,route_text_color
77,3-花輪大館(3004),3-3410001006019,,花輪大館,,3,,8080FF,FFFFFF
78,3-花輪小坂(3005),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
79,3-花輪小坂(3007),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
80,3-花輪小坂(3008),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
81,3-花輪小坂(3009),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
82,3-花輪小坂(3010),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
83,3-花輪小坂(3012),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
84,3-花輪小坂(3014),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
85,3-花輪小坂(3015),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
86,3-花輪小坂(3016),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
87,3-花輪小坂(3017),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
88,3-花輪小坂(3018),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
89,3-花輪小坂(3019),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
90,3-花輪小坂(3020),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
91,3-花輪小坂(3022),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
92,3-大湯(3023),3-3410001006019,,大湯,,3,,008000,FFFFFF
93,3-大湯(3024),3-3410001006019,,大湯,,3,,008000,FFFFFF
94,3-花輪小坂(3027),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
95,3-花輪小坂(3028),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
96,3-花輪小坂(3030),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
97,3-志張(3031),3-3410001006019,,志張,,3,,800000,FFFFFF
98,3-志張(3032),3-3410001006019,,志張,,3,,800000,FFFFFF
99,3-田沢湖(3033),3-3410001006019,,田沢湖,,3,,FF8000,FFFFFF
100,3-田沢湖(3034),3-3410001006019,,田沢湖,,3,,FF8000,FFFFFF
101,3-たんぽこまち(3035),3-3410001006019,,たんぽこまち,,3,,FF0080,FFFFFF
102,3-大館鷹巣(4001),3-3410001006019,,糠沢鷹巣,,3,,FF8080,000000
103,3-鷹巣ダム(4002),3-3410001006019,,鷹巣ダム,,3,,008040,FFFFFF
104,3-鷹巣ダム(4003),3-3410001006019,,鷹巣ダム,,3,,008040,FFFFFF
105,3-七座(4006),3-3410001006019,,七座,,3,,0000FF,FFFFFF
106,3-七座(4007),3-3410001006019,,七座,,3,,0000FF,FFFFFF
107,3-市民病院(4008),3-3410001006019,,市民病院,,3,,0000A0,FFFFFF
108,3-市民病院(4009),3-3410001006019,,市民病院,,3,,0000A0,FFFFFF
109,3-沖田面(4010),3-3410001006019,,沖田面,,3,,800080,FFFFFF
110,3-沖田面(4011),3-3410001006019,,沖田面,,3,,800080,FFFFFF
111,3-鷹巣ダム(4012),3-3410001006019,,鷹巣ダム,,3,,008040,FFFFFF
112,3-鷹巣ダム(4013),3-3410001006019,,鷹巣ダム,,3,,008040,FFFFFF
113,3-鷹巣ダム(4014),3-3410001006019,,鷹巣ダム,,3,,008040,FFFFFF
114,3-鷹巣ダム(4015),3-3410001006019,,鷹巣ダム,,3,,008040,FFFFFF
115,3-根森田(4016),3-3410001006019,,根森田,,3,,8000FF,FFFFFF
116,3-根森田(4017),3-3410001006019,,根森田,,3,,8000FF,FFFFFF
117,3-打当(4018),3-3410001006019,,打当,,3,,400000,FFFFFF
118,3-打当(4019),3-3410001006019,,打当,,3,,400000,FFFFFF
119,3-市民病院アクセス(4020),3-3410001006019,,市民病院アクセス,,3,,804000,FFFFFF
120,3-市民病院アクセス(4021),3-3410001006019,,市民病院アクセス,,3,,804000,FFFFFF
121,3-鷹巣循環(4022),3-3410001006019,,鷹巣循環,,3,,004000,FFFFFF
122,3-大館盛岡(5000),3-3410001006019,,大館盛岡,,3,,004040,FFFFFF
123,3-大館盛岡(5002),3-3410001006019,,大館盛岡,,3,,004040,FFFFFF
124,3-大館盛岡(5004),3-3410001006019,,大館盛岡,,3,,004040,FFFFFF
125,3-大館盛岡(5001),3-3410001006019,,大館盛岡,,3,,004040,FFFFFF
126,3-大館盛岡(5003),3-3410001006019,,大館盛岡,,3,,004040,FFFFFF
127,3-大館盛岡(5005),3-3410001006019,,大館盛岡,,3,,004040,FFFFFF
128,3-能代秋田(5030),3-3410001006019,,能代秋田,,3,,000040,FFFFFF
129,3-能代秋田(5031),3-3410001006019,,能代秋田,,3,,000040,FFFFFF
130,3-能代秋田(5032),3-3410001006019,,能代秋田,,3,,000040,FFFFFF
131,3-能代秋田(5033),3-3410001006019,,能代秋田,,3,,000040,FFFFFF
132,3-能代秋田(5034),3-3410001006019,,能代秋田,,3,,000040,FFFFFF
133,3-能代秋田(5035),3-3410001006019,,能代秋田,,3,,000040,FFFFFF
134,3-花輪小坂(3006),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
0,4-10,4-3000020052035,,横手市循環バス,,3,,FF99FF,0
1,4-11,4-3000020052035,,自家用有償旅客運送 上畑線,,3,,66FF66,0
2,4-12,4-3000020052035,,自家用有償旅客運送 柏木・大森病院線,,3,,95B3D7,0
3,4-21,4-3000020052035,,乗合タクシー湯沢沼館線,,3,,D9D9D9,0
4,4-22,4-3000020052035,,乗合タクシー睦合線,,3,,33CCFF,0
5,4-31,4-3000020052035,,平鹿ふれあいバス 蛭野石成線,,3,,CC00FF,0
6,4-32,4-3000020052035,,平鹿ふれあいバス 吉田馬鞍線,,3,,FFFF00,0
7,4-33,4-3000020052035,,大森シャトルバス上溝・大森ルート,,3,,3333CC,0
8,4-34,4-3000020052035,,大森シャトルバス八沢木・猿田ルート,,3,,FFC000,0
9,4-35,4-3000020052035,,大森シャトルバス坂部・菅生田ルート,,3,,FF0000,0
10,4-36,4-3000020052035,,大森シャトルバス川西ルート,,3,,76933C,0
0,5-角館大曲線,5-角営,,角館・大曲線,角館～羽後長野駅前～大曲,3,,4e4dfe,ffffff
1,5-六郷線,5-角営,,角館・六郷線,角館～横沢～千屋～六郷,3,,8c6801,ffffff
2,5-鎧畑線,5-田営,,鎧畑線,,3,,8001ff,ffffff
3,5-乳頭線,5-田営,,乳頭線,田沢湖駅前～田沢湖畔～高原温泉～アルパこまくさ～乳頭温泉,3,,0ca6cc,ffffff
